# Module Profiling Results (NPU:7)
# Total modules: 313
====================================================================================================

Hook:91 | Mixed_6a.branch3x3dbl_1.bn | Type:BatchNorm2d | FWD:432.70±16.17us | BWD:1753.30±21.38us | In:(128, 64, 35, 35) | Out:(128, 64, 35, 35) | Params:128

Hook:90 | Mixed_6a.branch3x3dbl_1.conv | Type:Conv2d | FWD:693.42±12.02us | BWD:2790.54±2.66us | In:(128, 288, 35, 35) | Out:(128, 64, 35, 35) | Params:18432

Hook:94 | Mixed_6a.branch3x3dbl_2.bn | Type:BatchNorm2d | FWD:513.26±16.96us | BWD:2525.58±14.90us | In:(128, 96, 35, 35) | Out:(128, 96, 35, 35) | Params:192

Hook:93 | Mixed_6a.branch3x3dbl_2.conv | Type:Conv2d | FWD:408.68±27.28us | BWD:2580.96±13.11us | In:(128, 64, 35, 35) | Out:(128, 96, 35, 35) | Params:55296

Hook:97 | Mixed_6a.branch3x3dbl_3.bn | Type:BatchNorm2d | FWD:374.71±13.03us | BWD:889.38±6.99us | In:(128, 96, 17, 17) | Out:(128, 96, 17, 17) | Params:192

Hook:96 | Mixed_6a.branch3x3dbl_3.conv | Type:Conv2d | FWD:285.98±27.22us | BWD:1267.98±13.65us | In:(128, 96, 35, 35) | Out:(128, 96, 17, 17) | Params:82944

Hook:102 | Mixed_6b.branch1x1.bn | Type:BatchNorm2d | FWD:448.39±21.49us | BWD:1433.01±28.24us | In:(128, 192, 17, 17) | Out:(128, 192, 17, 17) | Params:384

Hook:101 | Mixed_6b.branch1x1.conv | Type:Conv2d | FWD:753.72±21.52us | BWD:2378.40±28.35us | In:(128, 768, 17, 17) | Out:(128, 192, 17, 17) | Params:147456

Hook:105 | Mixed_6b.branch7x7_1.bn | Type:BatchNorm2d | FWD:380.54±9.96us | BWD:1080.42±15.44us | In:(128, 128, 17, 17) | Out:(128, 128, 17, 17) | Params:256

Hook:104 | Mixed_6b.branch7x7_1.conv | Type:Conv2d | FWD:532.73±8.83us | BWD:1771.84±13.82us | In:(128, 768, 17, 17) | Out:(128, 128, 17, 17) | Params:98304

Hook:108 | Mixed_6b.branch7x7_2.bn | Type:BatchNorm2d | FWD:374.10±3.98us | BWD:1070.42±3.11us | In:(128, 128, 17, 17) | Out:(128, 128, 17, 17) | Params:256

Hook:107 | Mixed_6b.branch7x7_2.conv | Type:Conv2d | FWD:291.45±5.96us | BWD:1140.01±7.50us | In:(128, 128, 17, 17) | Out:(128, 128, 17, 17) | Params:114688

